# Filename: vlt_FPquench_vsl_3_T_1_0.75_P_00.050_lmax10_dl0.008_tmax100_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 6 (2011 Apr 12 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.75, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, FPconst=1, Lconst=1

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	dG
1	0	0	0.295614	1	1	0.039797	0
1	0	0.04	0.30165	1.02042	0.980408	0.0324728	0
1	0	0.08	0.307466	1.04009	0.960127	0.0264272	0
1	0	0.12	0.31305	1.05898	0.939232	0.0214536	0
1	0	0.16	0.318392	1.07705	0.917803	0.0173749	0
1	0	0.2	0.323486	1.09428	0.895924	0.0140401	0
1	0	0.24	0.328328	1.11067	0.873681	0.0113214	0
1	0	0.28	0.332918	1.12619	0.851157	0.00911106	0
1	0	0.32	0.337255	1.14086	0.828438	0.00731856	0
1	0	0.36	0.341344	1.1547	0.805603	0.00586843	0
1	0	0.4	0.345189	1.1677	0.782733	0.00469794	0
1	0	0.44	0.348796	1.1799	0.7599	0.00375517	0
1	0	0.48	0.352173	1.19133	0.737174	0.00299733	0
1	0	0.52	0.35533	1.20201	0.714618	0.00238927	0
1	0	0.56	0.358277	1.21197	0.692291	0.00190222	0
1	0	0.6	0.361023	1.22127	0.670244	0.00151273	0
1	0	0.64	0.36358	1.22992	0.648525	0.00120172	0
1	0	0.68	0.36596	1.23796	0.627174	0.000953711	0
1	0	0.72	0.368172	1.24545	0.606225	0.0007562	0
1	0	0.76	0.37023	1.25241	0.58571	0.000599088	0
1	0	0.8	0.372143	1.25888	0.565652	0.000474249	0
1	0	0.84	0.373923	1.2649	0.546072	0.000375152	0
1	0	0.88	0.375581	1.27051	0.526987	0.000296563	0
1	0	0.92	0.377127	1.27574	0.508407	0.00023429	0
1	0	0.96	0.37857	1.28062	0.490341	0.000184987	0
1	0	1	0.37992	1.28519	0.472795	0.000145979	0
1	0	1.04	0.381186	1.28947	0.45577	0.000115139	0
1	0	1.08	0.382377	1.2935	0.439267	9.0771e-05	0
1	0	1.12	0.383501	1.2973	0.423283	7.15284e-05	0
1	0	1.16	0.384565	1.3009	0.407815	5.63413e-05	0
1	0	1.2	0.385577	1.30433	0.392856	4.43611e-05	0
1	0	1.24	0.386544	1.3076	0.378398	3.4915e-05	0
1	0	1.28	0.387472	1.31074	0.364434	2.74704e-05	0
1	0	1.32	0.388368	1.31377	0.350954	2.16056e-05	0
1	0	1.36	0.389238	1.31671	0.337947	1.69872e-05	0
1	0	1.4	0.390086	1.31958	0.325404	1.33517e-05	0
1	0	1.44	0.390919	1.3224	0.313312	1.04908e-05	0
1	0	1.48	0.391742	1.32518	0.301661	8.24036e-06	0
1	0	1.52	0.392559	1.32794	0.290437	6.47066e-06	0
1	0	1.56	0.393375	1.33071	0.279629	5.07944e-06	0
1	0	1.6	0.394196	1.33348	0.269225	3.98611e-06	0
1	0	1.64	0.395025	1.33629	0.259213	3.12713e-06	0
1	0	1.68	0.395866	1.33913	0.24958	2.45249e-06	0
1	0	1.72	0.396726	1.34204	0.240314	1.92277e-06	0
1	0	1.76	0.397606	1.34502	0.231403	1.50698e-06	0
1	0	1.8	0.398512	1.34808	0.222837	1.1807e-06	0
1	0	1.84	0.399449	1.35125	0.214602	9.24745e-07	0
1	0	1.88	0.400419	1.35453	0.206689	7.24017e-07	0
1	0	1.92	0.401429	1.35795	0.199085	5.6665e-07	0
1	0	1.96	0.402482	1.36151	0.19178	4.43316e-07	0
1	0	2	0.403582	1.36523	0.184764	3.46687e-07	0
1	0	2.04	0.404735	1.36913	0.178026	2.71006e-07	0
1	0	2.08	0.405945	1.37322	0.171557	2.11753e-07	0
1	0	2.12	0.407217	1.37753	0.165347	1.65379e-07	0
1	0	2.16	0.408556	1.38206	0.159386	1.29098e-07	0
1	0	2.2	0.409968	1.38684	0.153666	1.00726e-07	0
1	0	2.24	0.411459	1.39188	0.148177	7.85467e-08	0
1	0	2.28	0.413034	1.39721	0.142912	6.12167e-08	0
1	0	2.32	0.414699	1.40284	0.137862	4.76819e-08	0
1	0	2.36	0.416461	1.4088	0.133019	3.71162e-08	0
1	0	2.4	0.418328	1.41511	0.128376	2.88727e-08	0
1	0	2.44	0.420305	1.4218	0.123926	2.24443e-08	0
1	0	2.48	0.422402	1.4289	0.11966	1.74343e-08	0
1	0	2.52	0.424625	1.43642	0.115574	1.3532e-08	0
1	0	2.56	0.426985	1.4444	0.111659	1.04945e-08	0
1	0	2.6	0.429489	1.45287	0.10791	8.1317e-09	0
1	0	2.64	0.432148	1.46186	0.104321	6.29506e-09	0
1	0	2.68	0.434972	1.47142	0.100885	4.86849e-09	0
1	0	2.72	0.437971	1.48156	0.0975977	3.76131e-09	0
1	0	2.76	0.441159	1.49235	0.0944533	2.90275e-09	0
1	0	2.8	0.444546	1.50381	0.0914466	2.23758e-09	0
1	0	2.84	0.448147	1.51599	0.0885726	1.72272e-09	0
1	0	2.88	0.451976	1.52894	0.0858267	1.32462e-09	0
1	0	2.92	0.456047	1.54271	0.0832041	1.01713e-09	0
1	0	2.96	0.460377	1.55736	0.0807006	7.79886e-10	0
1	0	3	0.464982	1.57294	0.0783118	5.97069e-10	0
1	0	3.04	0.46988	1.58951	0.0760339	4.56371e-10	0
1	0	3.08	0.475092	1.60714	0.0738628	3.48235e-10	0
1	0	3.12	0.480637	1.62589	0.0717949	2.65244e-10	0
1	0	3.16	0.486538	1.64585	0.0698266	2.01649e-10	0
1	0	3.2	0.492817	1.66709	0.0679545	1.52995e-10	0
1	0	3.24	0.499499	1.6897	0.0661752	1.15836e-10	0
1	0	3.28	0.50661	1.71375	0.0644856	8.75076e-11	0
1	0	3.32	0.514178	1.73936	0.0628826	6.59524e-11	0
1	0	3.36	0.522233	1.7666	0.0613634	4.95845e-11	0
1	0	3.4	0.530805	1.7956	0.0599251	3.71822e-11	0
1	0	3.44	0.539928	1.82646	0.0585649	2.78063e-11	0
1	0	3.48	0.549636	1.8593	0.0572803	2.07352e-11	0
1	0	3.52	0.559965	1.89424	0.0560686	1.54159e-11	0
1	0	3.56	0.570955	1.93142	0.0549274	1.14252e-11	0
1	0	3.6	0.582646	1.97097	0.0538542	8.43977e-12	0
1	0	3.64	0.59508	2.01303	0.0528468	6.21296e-12	0
1	0	3.68	0.608302	2.05776	0.0519028	4.55725e-12	0
1	0	3.72	0.622357	2.1053	0.0510199	3.33023e-12	0
1	0	3.76	0.637295	2.15583	0.0501959	2.42408e-12	0
1	0	3.8	0.653164	2.20952	0.0494286	1.75731e-12	0
1	0	3.84	0.670017	2.26653	0.0487158	1.26857e-12	0
1	0	3.88	0.687906	2.32704	0.0480553	9.11743e-13	0
1	0	3.92	0.706887	2.39125	0.047445	6.52316e-13	0
1	0	3.96	0.727015	2.45934	0.0468826	4.64522e-13	0
1	0	4	0.748347	2.5315	0.0463661	3.29196e-13	0
1	0	4.04	0.770942	2.60793	0.045893	2.32136e-13	0
1	0	4.08	0.794858	2.68884	0.0454614	1.6286e-13	0
1	0	4.12	0.820155	2.77441	0.0450689	1.13663e-13	0
1	0	4.16	0.846892	2.86486	0.0447134	7.89061e-14	0
1	0	4.2	0.87513	2.96038	0.0443926	5.44814e-14	0
1	0	4.24	0.904929	3.06119	0.0441043	3.74109e-14	0
1	0	4.28	0.93635	3.16748	0.0438463	2.55468e-14	0
1	0	4.32	0.969453	3.27946	0.0436164	1.73479e-14	0
1	0	4.36	1.0043	3.39733	0.0434124	1.17137e-14	0
1	0	4.4	1.04096	3.52134	0.0432326	7.82326e-15	0
1	0	4.44	1.07952	3.65178	0.0430761	5.14797e-15	0
